conta_contabil;uniorcam_inicial;uniorcam_final;conferencia;regra
8.9.2.6;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDePagamentosSemRespaldoOrcamentario
7.9.2.9;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeResponsaveisPorDanosAoPatrimonio
8.9.2.9;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeResponsaveisPorDanosAoPatrimonio
7.9.9.9.1;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesaSemEmpenhoPrevio
8.9.9.9.1;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeDespesaSemEmpenhoPrevio
7.9.9.9.2;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel
8.9.9.9.2;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeSuperavitFinanceiroDisponivel
7.9.9.9.4;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeLimiteDeSuplementacao
8.9.9.9.4;1201;1299;nivel;testFechamentoDosNiveisDasContasDeControleDeLimiteDeSuplementacao
1.1.3.1.1.01.01;1201;1299;saldo;testSaldoFinalDeAdiantamentosDeSalarioIgualAZero
1.1.3.1.1.01.04;1201;1299;saldo;testSaldoFinalDeAdiantamentosDeFeriasIgualAZero
1.1.3.1.1.01.99;1201;1299;saldo;testSaldoFinalDeOutrosAdiantamentosIgualAZero
1.1.3.1.1.02;1201;1299;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
8.9.1.2.1.01;1201;1299;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
8.9.1.2.1.02;1201;1299;saldo;testSaldoFinalDeSuprimentosDeFundosDoAtivoIgualAosControlesAComprovarEAAprovar
1.1.9.8.1.01;1201;1299;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
8.1.22.1.01.02;1201;1299;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
8.1.2.2.1.01.03;1201;1299;saldo;testSaldoFinalDeParceriasAApropriarDoAtivoIgualAosControlesAComprovarEAAprovar
2.1.1.1.1.01.01.02;1201;1299;saldo;testSaldoFinalDeSalariosAPagarIgualAoSaldoLiquidadoAPagar
2.1.1.1.1.01.03.02;1201;1299;saldo;testSaldoFinalDeFeriasAPagarIgualAoSaldoLiquidadoAPagar
2.1.4.1.3.11.02;1201;1299;saldo;testSaldoFinalDePasepAPagarIgualAoSaldoLiquidadoAPagar
5.2.2.1.1.01;1201;1299;saldo;testCreditoInicialContabilizado
5.2.2.1.2.01;1201;1299;saldo;testCreditoSuplementarContabilizado
5.2.2.1.2.02;1201;1299;saldo;testCreditoEspecialContabilizado
5.2.2.1.2.03;1201;1299;saldo;testCreditoExtraordinarioContabilizado
5.2.2.1.2.02.02;1201;1299;saldo;testCreditoReabertoContabilizado
5.2.2.1.2.03.02;1201;1299;saldo;testCreditoReabertoContabilizado
5.2.2.1.3.06;1201;1299;saldo;testCreditoReabertoContabilizado
5.2.2.1.9.04;1201;1299;saldo;testAnulacaoDeDotacaoContabilizada
5.2.2.1.9.04;1201;1299;saldo;testCancelamentoDeDotacaoContabilizada
5.2.2.9.2.01;1201;1299;saldo;testEmissaoDeNotasDeEmpenhosContabilizada
6.2.2.1.1;1201;1299;saldo;testDotacaoDisponivelContabilizada
6.2.2.1.3.01;1201;1299;saldo;testCreditoEmpenhadoALiquidarContabilizado
6.2.2.1.3.03;1201;1299;saldo;testCreditoLiquidadoAPagarContabilizado
6.2.2.1.3.04;1201;1299;saldo;testCreditoLiquidadoPagoContabilizado
6.2.2.9.2.01.01;1201;1299;saldo;testEmpenhosALiquidarContabilizado
6.2.2.9.2.01.03;1201;1299;saldo;testEmpenhoLiquidadoAPagarContabilizado
6.2.2.9.2.01.04;1201;1299;saldo;testEmpenhosPagosContabilizado
8.2.1.1.1;1201;1299;saldo;testRecursosDisponiveis
8.2.1.1.2;1201;1299;saldo;testRecursosComprometidosPorEmpenhoALiquidar
8.2.1.1.3;1201;1299;saldo;testRecursosComprometidosPorLiquidacaoEExtrasAPagar
8.5.3.1.0.01;1201;1299;saldo;testValoresTransferidosPorContratoDeRateioUpaSantaRosa
8.5.3.1.0.02;1201;1299;saldo;testValoresTransferidosPorContratoDeRateioSamuSantaRosa
8.5.3.1.0.03;1201;1299;saldo;testValoresTransferidosPorContratoDeRateioMensalidadeCofron
2.1.1.4.2.01.02;1201;1299;saldo;testSaldoFinalDeContribuicaoAoRppsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.01.02;1201;1299;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.01.03.02;1201;1299;saldo;testSaldoFinalDeContribuicaoAoRgpsIgualAoSaldoLiquidadoAPagar
2.1.1.4.3.05.02;1201;1299;saldo;testSaldoFinalDeContribuicaoAoFgtsIgualAoSaldoLiquidadoAPagar
5.3.1.1;1201;1299;saldo;testRestosAPagarNaoProcessadosInscritosNoExercicio
5.3.2.1;1201;1299;saldo;testRestosAPagarProcessadosInscritosNoExercicio
5.3.1;1201;1299;saldo;testRestosAPagarNaoProcessadosInscritos
5.3.2;1201;1299;saldo;testRestosAPagarProcessadosInscritos
5.3.1.7;1201;1299;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualAZero
5.3.2.7;1201;1299;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualAZero
5.3.1.7;1201;1299;saldo;testRestosAPagarNaoProcessadosInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
5.3.2.7;1201;1299;saldo;testRestosAPagarProcessadosInscricaoNoExercicioIgualLiquidadoNaoPago
6.3.1.1;1201;1299;saldo;testRestosAPagarNaoProcessadosALiquidar
6.3.1.3;1201;1299;saldo;testRestosAPagarNaoProcessadosAPagar
6.3.1.4;1201;1299;saldo;testRestosAPagarNaoProcessadosPagos
6.3.1.7.1;1201;1299;saldo;testRestosAPagarNaoProcessadosALiquidarInscricaoNoExercicioIgualAZero
6.3.1.7.1;1201;1299;saldo;testRestosAPagarNaoProcessadosALiquidarInscricaoNoExercicioIgualEmpenhadoNaoLiquidado
